modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3295,10.322581,15.483871,6.0,12.0,36.380952,28.539683,36.984127,True,0.05025,0.8271,0.001166,294.3,293.6,294.03029403,0.017310499463,16985.6620636,rela_nu,rela_f,rela_tp
model3296,13.548387,14.83871,10.0,8.0,36.380952,32.15873,27.333333,True,0.05025,1.184,0.00124,294.2,293.6,343.035343035,0.0247891070532,13838.1484375,rela_nu,rela_f,rela_tp
model3297,13.548387,14.83871,10.0,8.0,36.380952,32.15873,37.587302,True,0.05025,0.9484,0.001085,294.2,293.6,343.035343035,0.0198544869188,17277.4720615,rela_nu,rela_f,rela_tp
model3298,10.967742,14.193548,6.0,10.0,31.555556,32.15873,37.587302,False,0.05025,1.046,0.001092,294.2,293.6,343.035343035,0.0218999089187,15663.7794389,rela_nu,rela_f,rela_tp
model3299,11.290323,16.451613,6.0,10.0,33.968254,32.15873,29.746032,False,0.05025,1.528,0.00147,294.2,293.6,343.035343035,0.0319940779109,10721.83871,rela_nu,rela_f,rela_tp
model3300,11.290323,16.451613,6.0,10.0,38.793651,36.984127,36.984127,True,0.05025,1.073,0.001115,294.2,293.6,343.035343035,0.0224653116555,15269.5563852,rela_nu,rela_f,rela_tp
model3301,14.193548,13.870968,8.0,10.0,33.968254,32.15873,29.746032,False,0.05025,1.421,0.001456,294.2,293.6,343.035343035,0.0297517908813,11529.9056922,rela_nu,rela_f,rela_tp
model3302,13.548387,14.83871,6.0,12.0,38.793651,34.571429,23.111111,True,0.05025,1.83,0.001261,294.2,293.6,343.035343035,0.0383279844122,8949.99693556,rela_nu,rela_f,rela_tp
model3303,13.870968,16.451613,8.0,12.0,31.555556,32.15873,36.984127,True,0.05025,0.9895,0.001052,294.2,293.6,343.035343035,0.0207165809535,16558.4921472,rela_nu,rela_f,rela_tp
model3304,13.548387,14.83871,10.0,8.0,38.793651,36.984127,36.984127,True,0.05025,0.9459,0.001091,294.2,293.6,343.035343035,0.0198019644271,17323.2986201,rela_nu,rela_f,rela_tp
model3305,10.967742,14.193548,6.0,12.0,35.777778,32.15873,27.333333,True,0.05025,1.019,0.001067,294.3,293.6,294.03029403,0.0213345480993,13781.8852624,rela_nu,rela_f,rela_tp
model3306,14.83871,13.870968,6.0,10.0,31.555556,32.15873,29.746032,False,0.05025,2.915,0.001855,294.2,293.6,343.035343035,0.0610557198979,5618.39813876,rela_nu,rela_f,rela_tp
model3307,13.225806,14.193548,6.0,10.0,35.174603,36.984127,33.365079,False,0.05025,1.501,0.001353,294.2,293.6,343.035343035,0.0314306452915,10914.0407349,rela_nu,rela_f,rela_tp
model3308,10.967742,14.193548,6.0,10.0,31.555556,22.507937,35.777778,True,0.05025,1.203,0.00118,294.2,293.6,343.035343035,0.0251885797953,13618.6853655,rela_nu,rela_f,rela_tp
model3309,13.870968,12.258065,6.0,10.0,31.555556,34.571429,37.587302,False,0.05025,1.392,0.001141,294.2,293.6,343.035343035,0.029150590692,11767.6978371,rela_nu,rela_f,rela_tp
model3310,10.322581,14.516129,6.0,12.0,36.380952,34.571429,37.587302,True,0.05025,0.679,0.0009387,294.3,293.6,294.03029403,0.0142112805255,20689.9225937,rela_nu,rela_f,rela_tp
model3311,10.0,16.451613,6.0,12.0,35.174603,36.984127,27.936508,False,0.05025,0.9278,0.00109,294.2,293.6,343.035343035,0.0194226329917,17661.629254,rela_nu,rela_f,rela_tp
model3312,12.580645,12.258065,6.0,10.0,31.555556,27.333333,27.936508,True,0.05025,1.227,0.00115,294.2,293.6,343.035343035,0.0256922172555,13351.7220263,rela_nu,rela_f,rela_tp
model3313,10.322581,14.516129,6.0,12.0,36.380952,34.571429,36.984127,False,0.05025,0.6846,0.0009281,294.3,293.6,294.03029403,0.0143288713842,20520.1293352,rela_nu,rela_f,rela_tp
model3314,10.645161,14.193548,6.0,12.0,36.380952,32.15873,37.587302,True,0.05025,0.7499,0.0006903,294.3,293.6,294.03029403,0.0157024581983,18725.1123561,rela_nu,rela_f,rela_tp
model3315,13.870968,11.612903,10.0,8.0,35.174603,32.15873,30.349206,False,0.05025,0.97,0.001349,294.3,293.6,294.03029403,0.0203016616526,14483.0654289,rela_nu,rela_f,rela_tp
model3316,10.967742,14.193548,6.0,12.0,31.555556,32.15873,36.984127,True,0.05025,0.9016,0.001032,294.2,293.6,343.035343035,0.0188747307659,18174.3171487,rela_nu,rela_f,rela_tp
model3317,13.870968,16.451613,8.0,8.0,40.0,36.984127,36.984127,True,0.05025,1.607,0.001439,294.2,293.6,343.035343035,0.0336504645993,10194.0744985,rela_nu,rela_f,rela_tp
model3318,10.967742,14.193548,6.0,12.0,40.0,32.15873,36.984127,True,0.05025,0.78,0.0007011,294.3,293.6,294.03029403,0.0163330885882,18002.1244876,rela_nu,rela_f,rela_tp
model3319,10.322581,15.483871,6.0,12.0,35.777778,23.714286,36.984127,True,0.05025,0.8187,0.001041,294.2,293.6,343.035343035,0.0171370662552,20017.1568416,rela_nu,rela_f,rela_tp
